,prov_name,prov_code,municipality,latitude,longitude,area (kmq),high_hydraulic_risk_area_p3 (%),medium_hydraulic_risk_area_p2 (%),low_hydraulic_risk_area_p1 (%),very_high_landslide_risk_area_p4 (%),high_landslide_risk_area_p3 (%),medium_landslide_risk_area_p2 (%),low_landslide_risk_area_p1 (%),attention_area (%),resident_population (n),high_hydraulic_risk_population_p3 (%),medium_hydraulic_risk_population_p2 (%),low_hydraulic_risk_population_p1 (%),very_high_landslide_risk_population_p4 (%),high_landslide_risk_population_p3 (%),medium_landslide_risk_population_p2 (%),low_landslide_risk_population_p1 (%),attention_population (%),resident_family (n),high_hydraulic_risk_family_p3 (%),medium_hydraulic_risk_family_p2 (%),low_hydraulic_risk_family_p1 (%),very_high_landslide_risk_family_p4 (%),high_landslide_risk_family_p3 (%),medium_landslide_risk_family_p2 (%),low_landslide_risk_family_p1 (%),attention_family (%),building (n),high_hydraulic_risk_building_p3 (%),medium_hydraulic_risk_building_p2 (%),low_hydraulic_risk_building_p1 (%),very_high_landslide_risk_building_p4 (%),high_landslide_risk_building_p3 (%),medium_landslide_risk_building_p2 (%),low_landslide_risk_building_p1 (%),attention_building (%),enterprise (n),high_hydraulic_risk_enterprise_p3 (%),medium_hydraulic_risk_enterprise_p2 (%),low_hydraulic_risk_enterprise_p1 (%),very_high_landslide_risk_enterprise_p4 (%),high_landslide_risk_enterprise_p3 (%),medium_landslide_risk_enterprise_p2 (%),low_landslide_risk_enterprise_p1 (%),attention_enterprise (%),cultural_heritage (n),high_hydraulic_risk_cultural_heritage_p3 (%),medium_hydraulic_risk_cultural_heritage_p2 (%),low_hydraulic_risk_cultural_heritage_p1 (%),very_high_landslide_risk_cultural_heritage_p4 (%),high_landslide_risk_cultural_heritage_p3 (%),medium_landslide_risk_cultural_heritage_p2 (%),low_landslide_risk_cultural_heritage_p1 (%),attention_cultural_heritage (%)
10,Bologna,BO,San Benedetto Val di Sambro,44.21557469,11.23306698,66.468,1.13,2.618,2.618,2.231,25.218,1.813,5.266,65.331,4393,0.478,1.093,1.093,0.569,10.835,7.717,15.775,65.058,2012,0.447,0.994,0.994,0.596,10.437,7.107,15.109,66.7,2413,0.497,1.243,1.243,0.663,10.816,5.387,13.676,69.374,377,0.265,1.061,1.061,0.265,8.223,7.692,19.098,64.987,32,0.0,0.0,0.0,0.0,0.0,15.625,12.5,71.875
11,Forlì-Cesena,FC,Sogliano al Rubicone,44.0048826,12.30013583,93.429,1.295,1.57,1.67,38.761,17.075,3.061,2.482,0.0,3251,2.122,3.291,3.291,21.655,26.576,2.584,1.107,0.0,1319,2.047,3.184,3.487,22.441,26.914,2.502,0.986,0.0,1302,1.382,2.151,2.381,25.115,25.499,2.765,1.075,0.0,238,3.361,4.622,5.042,15.546,33.193,1.681,0.84,0.0,36,2.778,2.778,2.778,16.667,69.444,0.0,2.778,0.0
12,Bologna,BO,Medicina,44.47644406,11.64047564,159.106,10.872,99.969,99.969,0.0,0.0,0.0,0.0,0.0,16526,20.562,100.0,100.0,0.0,0.0,0.0,0.0,0.0,7023,20.817,100.0,100.0,0.0,0.0,0.0,0.0,0.0,2846,17.533,100.0,100.0,0.0,0.0,0.0,0.0,0.0,1232,16.153,100.0,100.0,0.0,0.0,0.0,0.0,0.0,65,20.0,106.154,106.154,0.0,0.0,0.0,0.0,0.0
13,Forlì-Cesena,FC,Meldola,44.12697469,12.06061678,79.077,3.994,5.737,5.737,21.886,31.249,7.859,2.608,0.0,10000,3.66,7.4,7.4,4.12,6.06,2.4,0.93,0.0,4166,3.625,7.369,7.369,3.937,5.857,2.304,0.864,0.0,2672,3.705,6.811,6.811,8.271,12.537,3.668,1.198,0.0,768,3.776,7.813,7.813,2.083,3.385,1.432,0.391,0.0,53,13.208,18.868,18.868,11.321,9.434,3.774,0.0,0.0
14,Parma,PR,Torrile,44.89060669,10.35507653,37.147,29.521,100.038,100.051,0.0,0.0,0.0,0.0,0.0,7458,18.812,99.96,99.96,0.0,0.0,0.0,0.0,0.0,3152,19.829,99.968,100.0,0.0,0.0,0.0,0.0,0.0,1264,22.864,100.0,100.0,0.0,0.0,0.0,0.0,0.0,531,31.827,100.0,100.0,0.0,0.0,0.0,0.0,0.0,14,28.571,100.0,100.0,0.0,0.0,0.0,0.0,0.0
15,Reggio Emilia,RE,Guastalla,44.92239814,10.65403902,52.921,20.19,40.759,100.036,0.0,0.0,0.0,0.0,0.0,14786,1.075,8.738,8.738,0.0,0.0,0.0,0.0,0.0,6067,0.923,8.126,100.0,0.0,0.0,0.0,0.0,0.0,3290,1.611,10.638,100.0,0.0,0.0,0.0,0.0,0.0,1046,0.86,6.119,100.0,0.0,0.0,0.0,0.0,0.0,855,2.456,15.789,101.053,0.0,0.0,0.0,0.0,0.0
16,Parma,PR,Traversetolo,44.63974916,10.38163949,54.86,11.291,13.254,20.437,7.488,2.421,0.631,0.0,0.0,9275,3.784,4.464,4.464,0.539,0.539,0.086,0.0,0.0,3931,3.714,4.35,12.821,0.56,0.534,0.076,0.0,0.0,2473,4.772,5.823,13.789,1.011,0.849,0.162,0.0,0.0,925,3.784,4.865,13.838,0.757,0.541,0.216,0.0,0.0,29,3.448,10.345,24.138,0.0,0.0,0.0,0.0,0.0
17,Parma,PR,Varano de' Melegari,44.68707407,10.01428207,64.921,8.692,10.316,11.095,16.019,8.356,1.973,0.0,0.0,2689,4.239,6.434,6.434,4.872,4.277,3.756,0.0,0.0,1195,4.184,6.444,11.548,5.188,4.1,3.515,0.0,0.0,984,4.573,6.606,10.264,7.724,6.301,3.354,0.0,0.0,234,6.838,10.684,16.667,6.838,2.564,2.991,0.0,0.0,11,0.0,9.091,9.091,0.0,0.0,18.182,0.0,0.0
18,Ferrara,FE,Fiscaglia,44.7988,11.9754,116.182,5.791,99.94,99.94,0.0,0.0,0.0,0.0,0.0,9519,1.986,100.0,100.0,0.0,0.0,0.0,0.0,0.0,4247,1.884,100.0,100.0,0.0,0.0,0.0,0.0,0.0,2996,2.203,100.0,100.0,0.0,0.0,0.0,0.0,0.0,618,1.618,100.0,100.0,0.0,0.0,0.0,0.0,0.0,56,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0
19,Reggio Emilia,RE,Castelnovo di Sotto,44.81160229,10.56368003,35.014,12.349,100.043,100.043,0.0,0.0,0.0,0.0,0.0,8594,3.223,100.0,100.0,0.0,0.0,0.0,0.0,0.0,3378,3.02,100.0,100.0,0.0,0.0,0.0,0.0,0.0,2000,4.15,100.0,100.0,0.0,0.0,0.0,0.0,0.0,728,2.198,100.0,100.0,0.0,0.0,0.0,0.0,0.0,12,0.0,133.333,133.333,0.0,0.0,0.0,0.0,0.0
20,Reggio Emilia,RE,Novellara,44.84512566,10.73188909,58.106,13.205,100.036,100.036,0.0,0.0,0.0,0.0,0.0,13455,1.167,100.0,100.0,0.0,0.0,0.0,0.0,0.0,5251,0.99,100.0,100.0,0.0,0.0,0.0,0.0,0.0,2903,2.239,100.0,100.0,0.0,0.0,0.0,0.0,0.0,906,0.993,100.0,100.0,0.0,0.0,0.0,0.0,0.0,468,8.333,100.427,100.427,0.0,0.0,0.0,0.0,0.0
21,Reggio Emilia,RE,Castellarano,44.50955318,10.73064321,58.058,3.4,3.932,4.886,11.79,4.117,0.381,0.0,0.0,14838,0.323,0.344,0.344,1.422,3.801,0.054,0.0,0.0,5806,0.344,0.362,0.465,1.361,3.72,0.052,0.0,0.0,2334,0.514,0.557,0.857,2.314,4.07,0.086,0.0,0.0,1156,0.26,0.26,0.519,1.557,2.076,0.087,0.0,0.0,22,0.0,0.0,0.0,4.545,0.0,0.0,0.0,0.0
22,Parma,PR,Tizzano Val Parma,44.52085941,10.19893974,78.386,2.102,2.344,2.754,14.746,27.954,6.913,0.0,0.0,2113,0.521,0.947,0.947,19.83,21.297,3.739,0.0,0.0,1026,0.487,0.877,2.827,21.832,19.786,3.801,0.0,0.0,1929,0.467,0.674,1.866,20.581,18.559,4.614,0.0,0.0,211,0.474,0.948,1.422,26.54,18.009,1.896,0.0,0.0,15,0.0,0.0,0.0,40.0,6.667,0.0,0.0,0.0
23,Ferrara,FE,Terre del Reno,44.7932,11.3892,51.035,69.256,99.99,99.99,0.0,0.0,0.0,0.0,0.0,10571,82.093,100.0,100.0,0.0,0.0,0.0,0.0,0.0,4455,82.492,100.0,100.0,0.0,0.0,0.0,0.0,0.0,2688,83.408,100.0,100.0,0.0,0.0,0.0,0.0,0.0,622,73.312,100.0,100.0,0.0,0.0,0.0,0.0,0.0,37,70.27,102.703,102.703,0.0,0.0,0.0,0.0,0.0
24,Parma,PR,Parma,44.80107394,10.32834985,260.598,13.882,55.409,71.01,0.0,0.0,0.0,0.0,0.0,175895,1.397,41.542,41.542,0.0,0.0,0.0,0.0,0.0,82213,1.264,41.59,73.808,0.0,0.0,0.0,0.0,0.0,24374,2.708,45.754,72.733,0.0,0.0,0.0,0.0,0.0,19903,2.14,48.792,72.471,0.0,0.0,0.0,0.0,0.0,881,6.924,55.165,65.153,0.0,0.0,0.0,0.0,0.0
25,Bologna,BO,Anzola dell'Emilia,44.546483,11.19326943,36.596,48.156,100.005,100.005,0.0,0.0,0.0,0.0,0.0,11851,70.897,100.0,100.0,0.0,0.0,0.0,0.0,0.0,5096,72.253,100.0,100.0,0.0,0.0,0.0,0.0,0.0,1423,65.987,100.0,100.0,0.0,0.0,0.0,0.0,0.0,1143,74.628,100.0,100.0,0.0,0.0,0.0,0.0,0.0,28,82.143,110.714,110.714,0.0,0.0,0.0,0.0,0.0
26,Bologna,BO,Borgo Tossignano,44.27730823,11.58922857,29.273,5.992,13.818,13.818,1.151,19.144,2.323,1.595,44.396,3302,2.756,23.38,23.38,0.273,9.419,0.545,4.694,57.723,1399,2.573,22.873,22.873,0.286,9.221,0.5,5.361,58.113,693,3.319,23.377,23.377,0.577,11.544,1.154,6.638,52.092,192,2.083,31.25,31.25,0.0,11.458,0.521,4.167,48.438,12,8.333,25.0,25.0,8.333,33.333,0.0,33.333,16.667
27,Piacenza,PC,Cerignale,44.67749339,9.35096916,30.818,3.18,3.18,3.443,0.276,25.443,0.165,0.0,0.0,155,0.0,0.0,0.0,0.0,76.774,0.0,0.0,0.0,105,0.0,0.0,0.952,0.0,77.143,0.0,0.0,0.0,459,0.0,0.0,0.654,0.0,69.063,0.0,0.0,0.0,16,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,88.889,0.0,0.0,0.0
28,Piacenza,PC,Cadeo,44.96546213,9.85223652,38.479,4.465,67.892,76.998,0.0,0.0,0.0,0.0,0.0,6052,3.999,61.715,61.715,0.0,0.0,0.0,0.0,0.0,2456,4.112,61.645,77.402,0.0,0.0,0.0,0.0,0.0,1417,4.94,60.339,75.3,0.0,0.0,0.0,0.0,0.0,505,4.554,60.792,74.455,0.0,0.0,0.0,0.0,0.0,37,5.405,56.757,59.459,0.0,0.0,0.0,0.0,0.0
29,Piacenza,PC,San Pietro in Cerro,45.02132785,9.9513817,27.346,3.507,100.066,100.066,0.0,0.0,0.0,0.0,0.0,926,1.728,100.0,100.0,0.0,0.0,0.0,0.0,0.0,409,1.711,100.0,100.0,0.0,0.0,0.0,0.0,0.0,412,1.699,100.0,100.0,0.0,0.0,0.0,0.0,0.0,65,1.538,100.0,100.0,0.0,0.0,0.0,0.0,0.0,39,0.0,82.051,82.051,0.0,0.0,0.0,0.0,0.0
30,Piacenza,PC,Sarmato,45.06041673,9.49148647,27.259,29.003,66.661,66.672,0.0,0.0,0.0,0.0,0.0,2919,1.37,85.749,85.749,0.0,0.0,0.0,0.0,0.0,1214,1.647,85.914,85.914,0.0,0.0,0.0,0.0,0.0,1093,2.379,85.544,85.544,0.0,0.0,0.0,0.0,0.0,225,4.889,76.444,76.444,0.0,0.0,0.0,0.0,0.0,35,2.857,25.714,25.714,0.0,0.0,0.0,0.0,0.0
31,Modena,MO,Bastiglia,44.72644995,10.99981167,10.466,4.424,18.852,100.019,0.0,0.0,0.0,0.0,0.0,3985,1.104,12.923,12.923,0.0,0.0,0.0,0.0,0.0,1660,1.024,13.072,100.0,0.0,0.0,0.0,0.0,0.0,581,1.893,20.138,100.0,0.0,0.0,0.0,0.0,0.0,307,1.303,34.202,100.0,0.0,0.0,0.0,0.0,0.0,16,0.0,12.5,112.5,0.0,0.0,0.0,0.0,0.0
32,Piacenza,PC,Villanova sull'Arda,45.02582296,9.99741768,36.565,20.462,100.03,100.063,0.0,0.0,0.0,0.0,0.0,1936,3.616,99.948,99.948,0.0,0.0,0.0,0.0,0.0,754,3.714,100.0,100.0,0.0,0.0,0.0,0.0,0.0,653,3.369,100.0,100.0,0.0,0.0,0.0,0.0,0.0,152,3.289,100.0,100.0,0.0,0.0,0.0,0.0,0.0,36,0.0,11.111,11.111,0.0,0.0,0.0,0.0,0.0
33,Parma,PR,Corniglio,44.47620016,10.08868709,165.697,1.918,2.061,2.2,8.849,18.715,8.099,0.0,0.0,1997,0.801,1.002,1.002,17.026,18.528,8.262,0.0,0.0,1072,0.653,0.84,1.399,17.631,18.284,8.396,0.0,0.0,2789,1.112,1.255,1.578,17.461,19.362,8.211,0.0,0.0,174,1.149,1.724,2.874,32.759,16.092,8.046,0.0,0.0,22,4.545,4.545,4.545,13.636,9.091,4.545,0.0,0.0
34,Parma,PR,Busseto,44.98132896,10.04132309,76.591,40.024,100.063,100.063,0.0,0.0,0.0,0.0,0.0,7043,18.43,100.0,100.0,0.0,0.0,0.0,0.0,0.0,2959,17.438,100.0,100.0,0.0,0.0,0.0,0.0,0.0,2010,23.483,100.0,100.0,0.0,0.0,0.0,0.0,0.0,613,14.682,100.0,100.0,0.0,0.0,0.0,0.0,0.0,159,32.704,98.113,98.113,0.0,0.0,0.0,0.0,0.0
35,Piacenza,PC,Farini,44.71333632,9.57071362,112.355,1.57,1.57,2.01,8.806,44.556,0.0,0.0,0.0,1455,2.543,2.543,2.543,4.811,37.732,0.0,0.0,0.0,803,2.366,2.366,5.355,4.483,37.609,0.0,0.0,0.0,2107,1.471,1.471,3.18,5.505,37.304,0.0,0.0,0.0,128,6.25,6.25,12.5,3.906,39.063,0.0,0.0,0.0,13,7.692,7.692,23.077,0.0,69.231,0.0,0.0,0.0
36,Piacenza,PC,Gossolengo,45.00440954,9.61405155,31.099,10.241,12.817,21.483,0.0,0.0,0.0,0.0,0.0,5431,1.086,1.16,1.16,0.0,0.0,0.0,0.0,0.0,2242,1.07,1.16,1.74,0.0,0.0,0.0,0.0,0.0,916,1.528,1.638,2.729,0.0,0.0,0.0,0.0,0.0,375,0.533,0.533,1.067,0.0,0.0,0.0,0.0,0.0,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Piacenza,PC,Gragnano Trebbiense,45.01213126,9.56911828,34.612,12.314,16.327,22.4,0.0,0.0,0.0,0.0,0.0,4386,1.573,2.234,2.234,0.0,0.0,0.0,0.0,0.0,1852,1.62,2.268,4.482,0.0,0.0,0.0,0.0,0.0,1277,2.036,2.819,5.482,0.0,0.0,0.0,0.0,0.0,303,0.99,1.65,3.3,0.0,0.0,0.0,0.0,0.0,55,1.818,1.818,1.818,0.0,0.0,0.0,0.0,0.0
38,Piacenza,PC,Morfasso,44.72166972,9.70325197,83.934,1.129,1.129,1.129,13.644,26.31,0.0,0.0,0.0,1105,1.267,1.267,1.267,12.489,35.113,0.0,0.0,0.0,620,1.129,1.129,1.129,11.613,35.0,0.0,0.0,0.0,1379,0.943,0.943,0.943,9.935,35.606,0.0,0.0,0.0,81,2.469,2.469,2.469,24.691,30.864,0.0,0.0,0.0,10,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0
39,Reggio Emilia,RE,Sant'Ilario d'Enza,44.76059788,10.45143035,20.233,3.306,100.049,100.049,0.0,0.0,0.0,0.0,0.0,10939,0.256,100.0,100.0,0.0,0.0,0.0,0.0,0.0,4503,0.244,100.0,100.0,0.0,0.0,0.0,0.0,0.0,1495,0.736,100.0,100.0,0.0,0.0,0.0,0.0,0.0,879,0.569,100.0,100.0,0.0,0.0,0.0,0.0,0.0,22,0.0,118.182,118.182,0.0,0.0,0.0,0.0,0.0
40,Reggio Emilia,RE,Scandiano,44.59938975,10.6882162,50.048,3.105,64.234,64.92,7.525,4.284,0.0,0.0,0.0,24792,2.134,83.071,83.071,0.44,0.645,0.0,0.0,0.0,10097,2.11,83.193,83.5,0.446,0.634,0.0,0.0,0.0,5098,2.275,82.405,82.876,0.745,0.863,0.0,0.0,0.0,2217,1.714,88.724,88.994,0.496,0.586,0.0,0.0,0.0,54,1.852,92.593,94.444,0.0,3.704,0.0,0.0,0.0
41,Modena,MO,Finale Emilia,44.83221342,11.2957332,105.126,18.263,91.906,100.001,0.0,0.0,0.0,0.0,0.0,15713,6.714,98.027,98.027,0.0,0.0,0.0,0.0,0.0,6656,6.55,97.912,100.0,0.0,0.0,0.0,0.0,0.0,3661,8.522,96.613,100.0,0.0,0.0,0.0,0.0,0.0,737,10.312,94.98,100.0,0.0,0.0,0.0,0.0,0.0,84,11.905,105.952,107.143,0.0,0.0,0.0,0.0,0.0
42,Modena,MO,Lama Mocogno,44.30830825,10.73062306,63.907,0.596,0.712,0.712,3.433,32.558,4.553,0.0,0.0,2844,0.176,0.211,0.211,1.793,46.589,10.408,0.0,0.0,1428,0.14,0.21,0.21,1.821,47.129,10.434,0.0,0.0,1971,0.203,0.254,0.254,1.877,40.132,7.255,0.0,0.0,292,0.0,0.0,0.0,1.027,55.137,12.329,0.0,0.0,10,0.0,0.0,0.0,0.0,40.0,10.0,0.0,0.0
43,Reggio Emilia,RE,Reggiolo,44.91859155,10.80428415,42.662,1.899,13.194,100.03,0.0,0.0,0.0,0.0,0.0,9217,0.043,0.282,0.282,0.0,0.0,0.0,0.0,0.0,3376,0.03,0.296,100.0,0.0,0.0,0.0,0.0,0.0,2135,0.094,0.515,100.0,0.0,0.0,0.0,0.0,0.0,680,0.0,0.294,100.0,0.0,0.0,0.0,0.0,0.0,180,5.556,5.556,103.333,0.0,0.0,0.0,0.0,0.0
44,Modena,MO,Guiglia,44.42798092,10.95727133,48.296,1.623,2.638,2.638,9.92,9.889,0.333,1.34,12.891,3999,0.35,0.575,0.575,2.001,2.426,0.05,15.529,6.927,1800,0.333,0.556,0.556,2.0,2.444,0.056,15.167,6.333,1560,0.513,0.833,0.833,2.885,3.013,0.064,10.256,6.282,303,0.33,0.66,0.66,2.64,3.3,0.0,14.521,6.271,25,0.0,0.0,0.0,0.0,4.0,0.0,0.0,12.0
45,Bologna,BO,Monzuno,44.27680857,11.27144388,65.008,2.964,5.824,5.824,1.424,20.481,1.569,8.831,44.959,6133,3.832,19.289,19.289,0.685,5.234,0.946,21.686,34.339,2733,3.732,18.734,18.734,0.732,5.452,0.988,22.356,34.102,2051,2.925,12.921,12.921,0.878,8.825,1.219,21.063,39.98,572,4.72,22.902,22.902,0.524,4.545,1.224,23.951,39.86,37,13.514,35.135,35.135,0.0,0.0,0.0,21.622,51.351
46,Bologna,BO,Mordano,44.39772446,11.81053436,21.451,1.636,99.958,99.958,0.0,0.0,0.0,0.0,0.0,4644,5.082,100.0,100.0,0.0,0.0,0.0,0.0,0.0,1900,5.368,100.0,100.0,0.0,0.0,0.0,0.0,0.0,1164,4.811,100.0,100.0,0.0,0.0,0.0,0.0,0.0,293,2.048,100.0,100.0,0.0,0.0,0.0,0.0,0.0,9,22.222,100.0,100.0,0.0,0.0,0.0,0.0,0.0
47,Bologna,BO,Gaggio Montano,44.19900456,10.93624639,58.67,0.973,2.142,2.142,4.06,25.279,2.059,4.275,45.596,5066,3.79,11.627,11.627,4.816,20.174,13.008,11.863,39.479,2232,3.539,10.977,10.977,4.973,19.624,12.814,12.276,39.068,2146,2.796,7.363,7.363,4.334,15.144,9.18,12.069,42.684,439,3.189,12.301,12.301,5.011,23.69,15.034,9.795,39.408,33,6.061,9.091,9.091,0.0,12.121,15.152,12.121,60.606
48,Bologna,BO,Galliera,44.74473998,11.43594172,37.154,99.435,99.989,99.989,0.0,0.0,0.0,0.0,0.0,5462,99.835,100.0,100.0,0.0,0.0,0.0,0.0,0.0,2294,99.869,100.0,100.0,0.0,0.0,0.0,0.0,0.0,1075,99.721,100.0,100.0,0.0,0.0,0.0,0.0,0.0,280,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,11,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0
49,Bologna,BO,Grizzana Morandi,44.25551286,11.15075094,77.402,3.017,4.647,4.647,3.869,37.171,1.023,8.053,30.512,3982,5.625,14.365,14.365,2.386,16.851,2.813,43.295,21.145,1866,5.252,13.666,13.666,2.412,17.792,2.733,42.444,21.168,1837,3.702,8.002,8.002,2.613,22.101,2.94,36.799,23.571,232,8.19,14.224,14.224,0.862,8.19,3.017,49.569,31.466,39,5.128,15.385,15.385,2.564,23.077,0.0,30.769,30.769
