,CATUE,ATTECONOM,CATIT,CATDIST,DANNO,CODCOM,AMBITOTER1,CODSCEN1,AMBITOTER2,CODSCEN2,AMBITOTER3,CODSCEN3,AMBITOTER4,CODSCEN4,CODAREA1,CODAREA2,CODAREA3,CODAREA4,RIS1,RIS2,RIS3,RIS4,RISMAX
13,attivita economiche e sociali,B42,strutture strategiche e sedi di attivita collettive,scuole,D4,,RP,M,,,,,RSP,M,ITR081_9999_P2_RP_826,,,ITR081_ _P2_RSP_37,R3,,,R2,R3
14,attivita economiche e sociali,B42,strutture strategiche e sedi di attivita collettive,scuole,D4,,RP,M,,,,,RSP,M,ITR081_9999_P2_RP_824,,,ITR081_ _P2_RSP_37,R3,,,R2,R3
15,attivita economiche e sociali,B42,strutture strategiche e sedi di attivita collettive,scuole,D4,,RP,M,,,,,RSP,M,ITR081_9999_P2_RP_826,,,ITR081_ _P2_RSP_37,R3,,,R2,R3
16,attivita economiche e sociali,B42,strutture strategiche e sedi di attivita collettive,scuole,D4,,RP,M,,,,,RSP,M,ITR081_9999_P2_RP_825,,,ITR081_ _P2_RSP_37,R3,,,R2,R3
17,attivita economiche e sociali,B42,strutture strategiche e sedi di attivita collettive,scuole,D4,,RP,M,,,,,RSP,M,ITR081_9999_P2_RP_825,,,ITR081_ _P2_RSP_37,R3,,,R2,R3
18,attivita economiche e sociali,B42,strutture strategiche e sedi di attivita collettive,scuole,D4,,RP,M,,,,,RSP,M,ITR081_9999_P2_RP_825,,,ITR081_ _P2_RSP_37,R3,,,R2,R3
19,attivita economiche e sociali,B42,strutture strategiche e sedi di attivita collettive,scuole,D4,,RP,M,,,ACM,M,RSP,H,ITR081_9999_P2_RP_820,,ITR081__P2_ACM_5,ITR081_ _P3_RSP_136,R3,,R3,R3,R3
20,attivita economiche e sociali,B42,strutture strategiche e sedi di attivita collettive,scuole,D4,,RP,M,,,,,RSP,M,ITR081_9999_P2_RP_818,,,ITR081_ _P2_RSP_37,R3,,,R2,R3
21,Attivita economiche e sociali,B42,strutture strategiche e sedi di attivita collettive,insediamenti ospedalieri,D4,,RP,H,,,,,,,ITR081_110100000000_P3_RP_1972,,,,R4,,,,R4
22,beni paesaggistici e culturali,B46,"beni ambientali, storici e culturali di rilevante interesse",beni culturali,D4,,RP,M,,,,,RSP,M,ITR081_9999_P2_RP_820,,,ITR081_ _P2_RSP_37,R3,,,R2,R3
23,beni paesaggistici e culturali,B46,"beni ambientali, storici e culturali di rilevante interesse",beni culturali,D4,,RP,M,,,,,,,ITR081_9999_P2_RP_827,,,,R3,,,,R3
24,beni paesaggistici e culturali,B46,"beni ambientali, storici e culturali di rilevante interesse",beni culturali,D4,,RP,M,,,,,RSP,H,ITR081_110200000000_P2_RP_541,,,ITR081_ _P3_RSP_118,R3,,,R3,R3
25,beni paesaggistici e culturali,B46,"beni ambientali, storici e culturali di rilevante interesse",beni culturali,D4,,RP,H,,,,,RSP,M,ITR081_110200000000_P3_RP_1309,,,ITR081_ _P2_RSP_37,R4,,,R2,R4
26,beni paesaggistici e culturali,B46,"beni ambientali, storici e culturali di rilevante interesse",beni culturali,D4,,RP,M,,,,,RSP,M,ITR081_080000000000_P2_RP_192,,,ITR081_ _P2_RSP_37,R3,,,R2,R3
27,beni paesaggistici e culturali,B46,"beni ambientali, storici e culturali di rilevante interesse",beni culturali,D4,,RP,M,,,,,RSP,M,ITR081_9999_P2_RP_826,,,ITR081_ _P2_RSP_37,R3,,,R2,R3
28,beni paesaggistici e culturali,B46,"beni ambientali, storici e culturali di rilevante interesse",beni culturali,D4,,RP,M,,,,,RSP,H,ITR081_9999_P2_RP_823,,,ITR081_ _P3_RSP_118,R3,,,R3,R3
29,beni paesaggistici e culturali,B46,"beni ambientali, storici e culturali di rilevante interesse",beni culturali,D4,,RP,M,,,,,RSP,M,ITR081_9999_P2_RP_826,,,ITR081_ _P2_RSP_37,R3,,,R2,R3
30,beni paesaggistici e culturali,B46,"beni ambientali, storici e culturali di rilevante interesse",beni culturali,D4,,RP,H,,,,,,,ITR081_110201010000_P3_RP_1301,,,,R4,,,,R4
31,beni paesaggistici e culturali,B46,"beni ambientali, storici e culturali di rilevante interesse",beni culturali,D4,,RP,M,,,ACM,H,RSP,M,ITR081_9999_P2_RP_809,,ITR081__P3_ACM_13,ITR081_ _P2_RSP_37,R3,,R4,R2,R4
32,beni paesaggistici e culturali,B46,"beni ambientali, storici e culturali di rilevante interesse",beni culturali,D4,,RP,M,,,,,RSP,M,ITR081_9999_P2_RP_820,,,ITR081_ _P2_RSP_37,R3,,,R2,R3
33,beni paesaggistici e culturali,B46,"beni ambientali, storici e culturali di rilevante interesse",beni culturali,D4,,RP,M,,,,,,,ITR081_110100000000_P2_RP_273,,,,R3,,,,R3
34,beni paesaggistici e culturali,B46,"beni ambientali, storici e culturali di rilevante interesse",beni culturali,D4,,RP,M,,,,,RSP,H,ITR081_9999_P2_RP_819,,,ITR081_ _P3_RSP_137,R3,,,R3,R3
35,beni paesaggistici e culturali,B46,"beni ambientali, storici e culturali di rilevante interesse",beni culturali,D4,,RP,M,,,,,RSP,M,ITR081_9999_P2_RP_823,,,ITR081_ _P2_RSP_37,R3,,,R2,R3
36,beni paesaggistici e culturali,B46,"beni ambientali, storici e culturali di rilevante interesse",beni culturali,D4,,RP,M,,,,,RSP,M,ITR081_9999_P2_RP_823,,,ITR081_ _P2_RSP_37,R3,,,R2,R3
37,beni paesaggistici e culturali,B46,"beni ambientali, storici e culturali di rilevante interesse",beni culturali,D4,,RP,H,,,,,,,ITR081_110100000000_P3_RP_1337,,,,R4,,,,R4
38,beni paesaggistici e culturali,B46,"beni ambientali, storici e culturali di rilevante interesse",beni culturali,D4,,RP,M,,,,,,,ITR081_080301000000_P2_RP_1185,,,,R3,,,,R3
39,AMBIENTE,B46,insediamenti produttivi o impianti tecnologici potenzialemente pericolosi dal punto di vista ambientale,impianti potenzialmente pericolosi ai fini di protezione civile,D4,,RP,M,,,,,RSP,H,ITR081_9999_P2_RP_801,,,ITR081_ _P3_RSP_136,R3,,,R3,R3
40,AMBIENTE,B46,insediamenti produttivi o impianti tecnologici potenzialemente pericolosi dal punto di vista ambientale,impianti individuati nell'allegato I del D.L. 59/2005,D4,,RP,M,,,,,RSP,H,ITR081_9999_P2_RP_821,,,ITR081_ _P3_RSP_137,R3,,,R3,R3
41,AMBIENTE,B46,insediamenti produttivi o impianti tecnologici potenzialemente pericolosi dal punto di vista ambientale,impianti individuati nell'allegato I del D.L. 59/2005,D4,,RP,M,,,,,RSP,M,ITR081_9999_P2_RP_823,,,ITR081_ _P2_RSP_37,R3,,,R2,R3
42,AMBIENTE,B46,insediamenti produttivi o impianti tecnologici potenzialemente pericolosi dal punto di vista ambientale,impianti individuati nell'allegato I del D.L. 59/2005,D4,,RP,M,,,,,RSP,M,ITR081_9999_P2_RP_794,,,ITR081_ _P2_RSP_37,R3,,,R2,R3
43,AMBIENTE,B46,insediamenti produttivi o impianti tecnologici potenzialemente pericolosi dal punto di vista ambientale,impianti individuati nell'allegato I del D.L. 59/2005,D4,,RP,M,,,,,RSP,H,ITR081_9999_P2_RP_819,,,ITR081_ _P3_RSP_137,R3,,,R3,R3
44,attivita economiche e sociali,B42,strutture strategiche e sedi di attivita collettive,scuole,D4,,RP,M,,,,,RSP,M,ITR081_9999_P2_RP_774,,,ITR081_ _P2_RSP_20,R3,,,R2,R3
45,attivita economiche e sociali,B42,strutture strategiche e sedi di attivita collettive,scuole,D4,,RP,M,,,,,,,ITR081_9999_P2_RP_785,,,,R3,,,,R3
46,attivita economiche e sociali,B42,strutture strategiche e sedi di attivita collettive,scuole,D4,,RP,M,,,,,,,ITR081_130700000000_P2_RP_1050,,,,R3,,,,R3
47,attivita economiche e sociali,B42,strutture strategiche e sedi di attivita collettive,scuole,D4,,RP,M,,,,,RSP,M,ITR081_9999_P2_RP_826,,,ITR081_ _P2_RSP_37,R3,,,R2,R3
48,attivita economiche e sociali,B42,strutture strategiche e sedi di attivita collettive,scuole,D4,,RP,M,,,,,RSP,M,ITR081_9999_P2_RP_826,,,ITR081_ _P2_RSP_37,R3,,,R2,R3
49,attivita economiche e sociali,B42,strutture strategiche e sedi di attivita collettive,scuole,D4,,RP,M,,,,,RSP,M,ITR081_9999_P2_RP_821,,,ITR081_ _P2_RSP_37,R3,,,R2,R3
50,attivita economiche e sociali,B42,strutture strategiche e sedi di attivita collettive,scuole,D4,,RP,M,,,,,RSP,M,ITR081_9999_P2_RP_826,,,ITR081_ _P2_RSP_37,R3,,,R2,R3
51,attivita economiche e sociali,B42,strutture strategiche e sedi di attivita collettive,scuole,D4,,RP,M,,,,,,,ITR081_9999_P2_RP_827,,,,R3,,,,R3
52,attivita economiche e sociali,B42,strutture strategiche e sedi di attivita collettive,scuole,D4,,RP,M,,,,,RSP,H,ITR081_9999_P2_RP_826,,,ITR081_ _P3_RSP_111,R3,,,R3,R3
53,attivita economiche e sociali,B42,strutture strategiche e sedi di attivita collettive,scuole,D4,,RP,M,,,,,RSP,M,ITR081_110000000000_P2_RP_744,,,ITR081_ _P2_RSP_37,R3,,,R2,R3
54,attivita economiche e sociali,B42,strutture strategiche e sedi di attivita collettive,scuole,D4,,RP,M,,,,,RSP,M,ITR081_9999_P2_RP_820,,,ITR081_ _P2_RSP_37,R3,,,R2,R3
55,attivita economiche e sociali,B42,strutture strategiche e sedi di attivita collettive,scuole,D4,,RP,M,,,,,RSP,M,ITR081_9999_P2_RP_818,,,ITR081_ _P2_RSP_37,R3,,,R2,R3
56,attivita economiche e sociali,B42,strutture strategiche e sedi di attivita collettive,scuole,D4,,RP,M,,,,,RSP,M,ITR081_9999_P2_RP_826,,,ITR081_ _P2_RSP_37,R3,,,R2,R3
57,Attivita economiche e sociali,B42,strutture strategiche e sedi di attivita collettive,insediamenti ospedalieri,D4,,RP,M,,,,,RSP,H,ITR081_9999_P2_RP_824,,,ITR081_ _P3_RSP_137,R3,,,R3,R3
58,Attivita economiche e sociali,B42,strutture strategiche e sedi di attivita collettive,insediamenti ospedalieri,D4,,RP,M,,,,,RSP,M,ITR081_9999_P2_RP_823,,,ITR081_ _P2_RSP_37,R3,,,R2,R3
59,Attivita economiche e sociali,B42,strutture strategiche e sedi di attivita collettive,insediamenti ospedalieri,D4,,RP,M,,,,,RSP,M,ITR081_9999_P2_RP_816,,,ITR081_ _P2_RSP_37,R3,,,R2,R3
60,Attivita economiche e sociali,B42,strutture strategiche e sedi di attivita collettive,insediamenti ospedalieri,D4,,RP,H,,,,,,,ITR081_110100000000_P3_RP_1972,,,,R4,,,,R4
61,beni paesaggistici e culturali,B46,"beni ambientali, storici e culturali di rilevante interesse",beni culturali,D4,,RP,H,,,,,RSP,M,ITR081_080000000000_P3_RP_1383,,,ITR081_ _P2_RSP_1,R4,,,R2,R4
62,beni paesaggistici e culturali,B46,"beni ambientali, storici e culturali di rilevante interesse",beni culturali,D4,,RP,M,,,,,RSP,M,ITR081_9999_P2_RP_820,,,ITR081_ _P2_RSP_37,R3,,,R2,R3
63,beni paesaggistici e culturali,B46,"beni ambientali, storici e culturali di rilevante interesse",beni culturali,D4,,RP,M,,,,,,,ITR081_9999_P2_RP_827,,,,R3,,,,R3
64,beni paesaggistici e culturali,B46,"beni ambientali, storici e culturali di rilevante interesse",beni culturali,D4,,RP,M,,,,,RSP,M,ITR081_9999_P2_RP_826,,,ITR081_ _P2_RSP_37,R3,,,R2,R3
65,beni paesaggistici e culturali,B46,"beni ambientali, storici e culturali di rilevante interesse",beni culturali,D4,,RP,M,,,,,,,ITR081_9999_P2_RP_827,,,,R3,,,,R3
66,beni paesaggistici e culturali,B46,"beni ambientali, storici e culturali di rilevante interesse",beni culturali,D4,,RP,M,,,,,RSP,M,ITR081_110100000000_P2_RP_305,,,ITR081_ _P2_RSP_37,R3,,,R2,R3
67,beni paesaggistici e culturali,B46,"beni ambientali, storici e culturali di rilevante interesse",beni culturali,D4,,RP,M,,,,,RSP,M,ITR081_9999_P2_RP_824,,,ITR081_ _P2_RSP_37,R3,,,R2,R3
68,beni paesaggistici e culturali,B46,"beni ambientali, storici e culturali di rilevante interesse",beni culturali,D4,,RP,M,,,,,RSP,M,ITR081_9999_P2_RP_824,,,ITR081_ _P2_RSP_37,R3,,,R2,R3
69,beni paesaggistici e culturali,B46,"beni ambientali, storici e culturali di rilevante interesse",beni culturali,D4,,RP,M,,,,,RSP,H,ITR081_9999_P2_RP_823,,,ITR081_ _P3_RSP_118,R3,,,R3,R3
70,beni paesaggistici e culturali,B46,"beni ambientali, storici e culturali di rilevante interesse",beni culturali,D4,,RP,M,,,,,RSP,M,ITR081_9999_P2_RP_826,,,ITR081_ _P2_RSP_37,R3,,,R2,R3
71,beni paesaggistici e culturali,B46,"beni ambientali, storici e culturali di rilevante interesse",beni culturali,D4,,RP,M,,,,,RSP,M,ITR081_080000000000_P2_RP_192,,,ITR081_ _P2_RSP_37,R3,,,R2,R3
72,beni paesaggistici e culturali,B46,"beni ambientali, storici e culturali di rilevante interesse",beni culturali,D4,,RP,M,,,,,RSP,M,ITR081_9999_P2_RP_826,,,ITR081_ _P2_RSP_37,R3,,,R2,R3
73,beni paesaggistici e culturali,B46,"beni ambientali, storici e culturali di rilevante interesse",beni culturali,D4,,RP,M,,,,,RSP,M,ITR081_9999_P2_RP_826,,,ITR081_ _P2_RSP_37,R3,,,R2,R3
74,beni paesaggistici e culturali,B46,"beni ambientali, storici e culturali di rilevante interesse",beni culturali,D4,,RP,H,,,,,,,ITR081_110201030000_P3_RP_1583,,,,R4,,,,R4
75,beni paesaggistici e culturali,B46,"beni ambientali, storici e culturali di rilevante interesse",beni culturali,D4,,RP,M,,,,,,,ITR081_110204000000_P2_RP_991,,,,R3,,,,R3
76,beni paesaggistici e culturali,B46,"beni ambientali, storici e culturali di rilevante interesse",beni culturali,D4,,RP,M,,,,,RSP,M,ITR081_9999_P2_RP_805,,,ITR081_ _P2_RSP_37,R3,,,R2,R3
77,beni paesaggistici e culturali,B46,"beni ambientali, storici e culturali di rilevante interesse",beni culturali,D4,,RP,M,,,,,,,ITR081_080301000000_P2_RP_1192,,,,R3,,,,R3
78,beni paesaggistici e culturali,B46,"beni ambientali, storici e culturali di rilevante interesse",beni culturali,D4,,RP,H,,,,,,,ITR081_110100000000_P3_RP_1337,,,,R4,,,,R4
79,beni paesaggistici e culturali,B46,"beni ambientali, storici e culturali di rilevante interesse",beni culturali,D4,,RP,M,,,,,RSP,M,ITR081_9999_P2_RP_824,,,ITR081_ _P2_RSP_37,R3,,,R2,R3
80,beni paesaggistici e culturali,B46,"beni ambientali, storici e culturali di rilevante interesse",beni culturali,D4,,RP,M,,,,,RSP,M,ITR081_130000000000_P2_RP_743,,,ITR081_ _P2_RSP_37,R3,,,R2,R3
81,beni paesaggistici e culturali,B46,"beni ambientali, storici e culturali di rilevante interesse",beni culturali,D4,,RP,M,,,,,RSP,M,ITR081_130000000000_P2_RP_743,,,ITR081_ _P2_RSP_37,R3,,,R2,R3
82,beni paesaggistici e culturali,B46,"beni ambientali, storici e culturali di rilevante interesse",beni culturali,D4,,RP,M,,,,,RSP,M,ITR081_110200000000_P2_RP_541,,,ITR081_ _P2_RSP_37,R3,,,R2,R3
83,beni paesaggistici e culturali,B46,"beni ambientali, storici e culturali di rilevante interesse",beni culturali,D4,,RP,M,,,,,RSP,M,ITR081_9999_P2_RP_824,,,ITR081_ _P2_RSP_37,R3,,,R2,R3
84,AMBIENTE,B46,insediamenti produttivi o impianti tecnologici potenzialemente pericolosi dal punto di vista ambientale,impianti individuati nell'allegato I del D.L. 59/2005,D4,,RP,M,,,,,RSP,M,ITR081_9999_P2_RP_783,,,ITR081_ _P2_RSP_37,R3,,,R2,R3
85,AMBIENTE,B46,insediamenti produttivi o impianti tecnologici potenzialemente pericolosi dal punto di vista ambientale,impianti individuati nell'allegato I del D.L. 59/2005,D4,,RP,M,,,,,,,ITR081_110201020000_P2_RP_62,,,,R3,,,,R3
86,AMBIENTE,B46,insediamenti produttivi o impianti tecnologici potenzialemente pericolosi dal punto di vista ambientale,impianti individuati nell'allegato I del D.L. 59/2005,D4,,RP,M,,,,,RSP,M,ITR081_9999_P2_RP_826,,,ITR081_ _P2_RSP_37,R3,,,R2,R3
87,AMBIENTE,B46,insediamenti produttivi o impianti tecnologici potenzialemente pericolosi dal punto di vista ambientale,impianti individuati nell'allegato I del D.L. 59/2005,D4,,RP,M,,,,,RSP,M,ITR081_9999_P2_RP_826,,,ITR081_ _P2_RSP_37,R3,,,R2,R3
88,AMBIENTE,B46,insediamenti produttivi o impianti tecnologici potenzialemente pericolosi dal punto di vista ambientale,impianti individuati nell'allegato I del D.L. 59/2005,D4,,RP,M,,,,,RSP,H,ITR081_9999_P2_RP_823,,,ITR081_ _P3_RSP_118,R3,,,R3,R3
89,attivita economiche e sociali,B42,strutture strategiche e sedi di attivita collettive,scuole,D4,,RP,M,,,,,RSP,M,ITR081_9999_P2_RP_820,,,ITR081_ _P2_RSP_37,R3,,,R2,R3
90,attivita economiche e sociali,B42,strutture strategiche e sedi di attivita collettive,scuole,D4,,RP,M,,,,,RSP,M,ITR081_9999_P2_RP_820,,,ITR081_ _P2_RSP_37,R3,,,R2,R3
91,attivita economiche e sociali,B42,strutture strategiche e sedi di attivita collettive,scuole,D4,,RP,M,,,,,RSP,M,ITR081_9999_P2_RP_781,,,ITR081_ _P2_RSP_37,R3,,,R2,R3
92,attivita economiche e sociali,B42,strutture strategiche e sedi di attivita collettive,scuole,D4,,RP,M,,,,,RSP,M,ITR081_9999_P2_RP_781,,,ITR081_ _P2_RSP_37,R3,,,R2,R3
93,attivita economiche e sociali,B42,strutture strategiche e sedi di attivita collettive,scuole,D4,,RP,M,,,,,RSP,M,ITR081_9999_P2_RP_823,,,ITR081_ _P2_RSP_37,R3,,,R2,R3
94,attivita economiche e sociali,B42,strutture strategiche e sedi di attivita collettive,scuole,D4,,RP,M,,,,,RSP,M,ITR081_9999_P2_RP_823,,,ITR081_ _P2_RSP_37,R3,,,R2,R3
95,attivita economiche e sociali,B42,strutture strategiche e sedi di attivita collettive,scuole,D4,,RP,M,,,,,RSP,M,ITR081_9999_P2_RP_801,,,ITR081_ _P2_RSP_27,R3,,,R2,R3
96,attivita economiche e sociali,B42,strutture strategiche e sedi di attivita collettive,scuole,D4,,RP,M,,,,,RSP,M,ITR081_9999_P2_RP_820,,,ITR081_ _P2_RSP_37,R3,,,R2,R3
97,attivita economiche e sociali,B42,strutture strategiche e sedi di attivita collettive,scuole,D4,,RP,M,,,,,RSP,M,ITR081_9999_P2_RP_823,,,ITR081_ _P2_RSP_37,R3,,,R2,R3
98,attivita economiche e sociali,B42,strutture strategiche e sedi di attivita collettive,scuole,D4,,RP,M,,,,,RSP,M,ITR081_9999_P2_RP_824,,,ITR081_ _P2_RSP_37,R3,,,R2,R3
99,attivita economiche e sociali,B42,strutture strategiche e sedi di attivita collettive,scuole,D4,,RP,M,,,,,RSP,M,ITR081_9999_P2_RP_821,,,ITR081_ _P2_RSP_37,R3,,,R2,R3
100,attivita economiche e sociali,B42,strutture strategiche e sedi di attivita collettive,scuole,D4,,RP,M,,,,,RSP,M,ITR081_9999_P2_RP_820,,,ITR081_ _P2_RSP_37,R3,,,R2,R3
101,attivita economiche e sociali,B42,strutture strategiche e sedi di attivita collettive,scuole,D4,,RP,M,,,,,RSP,M,ITR081_9999_P2_RP_821,,,ITR081_ _P2_RSP_37,R3,,,R2,R3
102,attivita economiche e sociali,B42,strutture strategiche e sedi di attivita collettive,scuole,D4,,RP,M,,,ACM,M,RSP,M,ITR081_9999_P2_RP_820,,ITR081__P2_ACM_5,ITR081_ _P2_RSP_37,R3,,R3,R2,R3
103,attivita economiche e sociali,B42,strutture strategiche e sedi di attivita collettive,scuole,D4,,RP,M,,,,,RSP,H,ITR081_9999_P2_RP_826,,,ITR081_ _P3_RSP_122,R3,,,R3,R3
104,attivita economiche e sociali,B42,strutture strategiche e sedi di attivita collettive,scuole,D4,,RP,M,,,,,RSP,H,ITR081_9999_P2_RP_824,,,ITR081_ _P3_RSP_137,R3,,,R3,R3
105,attivita economiche e sociali,B42,strutture strategiche e sedi di attivita collettive,scuole,D4,,RP,M,,,,,RSP,M,ITR081_9999_P2_RP_826,,,ITR081_ _P2_RSP_37,R3,,,R2,R3
106,attivita economiche e sociali,B42,strutture strategiche e sedi di attivita collettive,scuole,D4,,RP,M,,,,,,,ITR081_9999_P2_RP_827,,,,R3,,,,R3
107,attivita economiche e sociali,B42,strutture strategiche e sedi di attivita collettive,scuole,D4,,RP,M,,,,,RSP,M,ITR081_9999_P2_RP_826,,,ITR081_ _P2_RSP_37,R3,,,R2,R3
108,attivita economiche e sociali,B42,strutture strategiche e sedi di attivita collettive,scuole,D4,,RP,M,,,,,RSP,M,ITR081_9999_P2_RP_825,,,ITR081_ _P2_RSP_37,R3,,,R2,R3
109,Attivita economiche e sociali,B42,strutture strategiche e sedi di attivita collettive,insediamenti ospedalieri,D4,,RP,M,,,,,RSP,M,ITR081_130000000000_P2_RP_743,,,ITR081_ _P2_RSP_37,R3,,,R2,R3
110,Attivita economiche e sociali,B42,strutture strategiche e sedi di attivita collettive,insediamenti ospedalieri,D4,,RP,M,,,,,,,ITR081_080000000000_P2_RP_192,,,,R3,,,,R3
111,Attivita economiche e sociali,B42,strutture strategiche e sedi di attivita collettive,insediamenti ospedalieri,D4,,RP,M,,,,,RSP,M,ITR081_9999_P2_RP_823,,,ITR081_ _P2_RSP_37,R3,,,R2,R3
112,Attivita economiche e sociali,B42,strutture strategiche e sedi di attivita collettive,insediamenti ospedalieri,D4,,RP,M,,,,,RSP,M,ITR081_9999_P2_RP_826,,,ITR081_ _P2_RSP_37,R3,,,R2,R3
113,beni paesaggistici e culturali,B46,"beni ambientali, storici e culturali di rilevante interesse",beni culturali,D4,,RP,M,,,,,,,ITR081_080000000000_P2_RP_192,,,,R3,,,,R3
114,beni paesaggistici e culturali,B46,"beni ambientali, storici e culturali di rilevante interesse",beni culturali,D4,,RP,M,,,,,,,ITR081_080000000000_P2_RP_192,,,,R3,,,,R3
115,beni paesaggistici e culturali,B46,"beni ambientali, storici e culturali di rilevante interesse",beni culturali,D4,,RP,M,,,,,,,ITR081_080000000000_P2_RP_192,,,,R3,,,,R3
116,beni paesaggistici e culturali,B46,"beni ambientali, storici e culturali di rilevante interesse",beni culturali,D4,,RP,M,,,,,,,ITR081_080000000000_P2_RP_192,,,,R3,,,,R3
117,beni paesaggistici e culturali,B46,"beni ambientali, storici e culturali di rilevante interesse",beni culturali,D4,,RP,M,,,,,RSP,M,ITR081_080000000000_P2_RP_192,,,ITR081_ _P2_RSP_37,R3,,,R2,R3
118,beni paesaggistici e culturali,B46,"beni ambientali, storici e culturali di rilevante interesse",beni culturali,D4,,RP,M,,,,,RSP,M,ITR081_9999_P2_RP_826,,,ITR081_ _P2_RSP_37,R3,,,R2,R3
119,beni paesaggistici e culturali,B46,"beni ambientali, storici e culturali di rilevante interesse",beni culturali,D4,,RP,M,,,,,RSP,M,ITR081_9999_P2_RP_821,,,ITR081_ _P2_RSP_37,R3,,,R2,R3
120,beni paesaggistici e culturali,B46,"beni ambientali, storici e culturali di rilevante interesse",beni culturali,D4,,RP,M,,,,,RSP,M,ITR081_9999_P2_RP_821,,,ITR081_ _P2_RSP_37,R3,,,R2,R3
121,beni paesaggistici e culturali,B46,"beni ambientali, storici e culturali di rilevante interesse",beni culturali,D4,,RP,M,,,,,RSP,M,ITR081_9999_P2_RP_826,,,ITR081_ _P2_RSP_37,R3,,,R2,R3
122,beni paesaggistici e culturali,B46,"beni ambientali, storici e culturali di rilevante interesse",beni culturali,D4,,RP,M,,,,,RSP,H,ITR081_9999_P2_RP_826,,,ITR081_ _P3_RSP_114,R3,,,R3,R3
123,beni paesaggistici e culturali,B46,"beni ambientali, storici e culturali di rilevante interesse",beni culturali,D4,,RP,M,,,,,RSP,M,ITR081_9999_P2_RP_826,,,ITR081_ _P2_RSP_37,R3,,,R2,R3
124,beni paesaggistici e culturali,B46,"beni ambientali, storici e culturali di rilevante interesse",beni culturali,D4,,RP,M,,,,,RSP,M,ITR081_9999_P2_RP_826,,,ITR081_ _P2_RSP_37,R3,,,R2,R3
125,beni paesaggistici e culturali,B46,"beni ambientali, storici e culturali di rilevante interesse",beni culturali,D4,,RP,M,,,,,,,ITR081_130000000000_P2_RP_610,,,,R3,,,,R3
126,beni paesaggistici e culturali,B46,"beni ambientali, storici e culturali di rilevante interesse",beni culturali,D4,,RP,M,,,,,RSP,M,ITR081_9999_P2_RP_794,,,ITR081_ _P2_RSP_37,R3,,,R2,R3
